               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045935,            0.011752,           0.0097415,             0.58032,             0.67441,             0.62993,             0.39338,            0.072725,            0.046818,           0.0097961,            0.006535,            0.006535,            0.006535
                  37,             0.04594,            0.011279,           0.0092285,             0.89954,             0.93072,             0.89994,             0.52303,            0.040856,           0.0086961,           0.0091528,            0.006436,            0.006436,            0.006436
                  38,             0.04426,            0.011164,           0.0094567,             0.91824,             0.68098,             0.76366,             0.52165,            0.050763,            0.013832,           0.0092301,            0.006337,            0.006337,            0.006337
                  39,            0.043032,            0.011354,           0.0091467,             0.92398,             0.91299,             0.92566,             0.62806,            0.039177,            0.009316,           0.0092929,            0.006238,            0.006238,            0.006238
                  40,            0.044038,            0.011361,            0.010886,             0.86836,             0.80101,              0.8053,             0.45443,            0.049183,            0.028306,           0.0093748,            0.006139,            0.006139,            0.006139
                  41,            0.043647,            0.011226,           0.0094175,             0.92906,             0.92752,             0.92729,             0.59073,            0.036574,           0.0084023,           0.0088178,             0.00604,             0.00604,             0.00604
                  42,            0.043534,              0.0108,           0.0095545,             0.89647,             0.87799,             0.91326,             0.58793,            0.040571,           0.0086927,           0.0092012,            0.005941,            0.005941,            0.005941
                  43,             0.04197,            0.011304,           0.0087168,             0.54876,             0.66603,             0.65777,              0.2845,            0.068409,            0.022064,           0.0098187,            0.005842,            0.005842,            0.005842
                  44,            0.042297,            0.011022,           0.0092126,             0.92056,             0.89654,             0.88996,             0.35791,            0.049901,           0.0099974,           0.0089124,            0.005743,            0.005743,            0.005743
                  45,            0.041712,            0.010804,           0.0079505,             0.92105,               0.904,              0.9304,              0.5931,            0.039018,           0.0092378,           0.0084525,            0.005644,            0.005644,            0.005644
                  46,            0.041118,            0.010757,           0.0090895,             0.86408,             0.89692,             0.92706,              0.5938,            0.040501,           0.0091124,           0.0087678,            0.005545,            0.005545,            0.005545
                  47,            0.042305,            0.010734,           0.0090111,             0.65733,             0.82861,             0.82762,             0.43209,            0.043048,            0.011468,           0.0089158,            0.005446,            0.005446,            0.005446
                  48,            0.040499,             0.01042,           0.0084236,             0.91531,             0.91363,             0.92342,             0.50607,             0.03925,           0.0089374,           0.0084772,            0.005347,            0.005347,            0.005347
                  49,            0.040328,            0.010091,           0.0076963,             0.82712,             0.67431,             0.69297,             0.46732,            0.064288,            0.012941,           0.0089354,            0.005248,            0.005248,            0.005248
                  50,            0.040078,            0.010474,           0.0079702,             0.83718,               0.759,             0.78336,             0.52407,             0.05188,            0.013388,           0.0087965,            0.005149,            0.005149,            0.005149
                  51,            0.039623,            0.010756,           0.0078407,             0.89672,             0.90336,              0.9242,             0.50212,            0.039373,            0.008955,           0.0088071,             0.00505,             0.00505,             0.00505
                  52,            0.040277,            0.010734,           0.0078389,             0.94854,             0.92806,             0.92502,             0.58769,            0.037253,           0.0085721,           0.0084592,            0.004951,            0.004951,            0.004951
                  53,            0.038284,            0.010397,            0.007354,              0.9453,             0.92692,             0.91032,             0.57948,            0.036084,           0.0086832,           0.0081928,            0.004852,            0.004852,            0.004852
                  54,            0.037904,            0.010491,           0.0077506,             0.86575,             0.81347,             0.86402,             0.54087,            0.045269,            0.012344,           0.0083516,            0.004753,            0.004753,            0.004753
                  55,            0.037584,            0.010397,            0.007546,             0.91083,             0.82816,             0.90393,             0.53171,            0.044088,            0.011381,           0.0082159,            0.004654,            0.004654,            0.004654
                  56,            0.038492,             0.01048,           0.0073289,             0.93266,             0.93072,              0.9268,             0.60954,            0.036105,           0.0081758,           0.0086008,            0.004555,            0.004555,            0.004555
                  57,            0.038018,            0.010601,           0.0074173,             0.89254,             0.89688,             0.89758,             0.62517,            0.040084,           0.0083895,           0.0086059,            0.004456,            0.004456,            0.004456
                  58,            0.037906,            0.010138,           0.0071548,              0.9371,             0.91985,             0.93135,             0.58705,            0.037967,           0.0084648,           0.0083859,            0.004357,            0.004357,            0.004357
                  59,             0.03763,            0.010297,           0.0067866,              0.9202,             0.93432,             0.93014,             0.50704,            0.037397,           0.0080595,           0.0085117,            0.004258,            0.004258,            0.004258
                  60,            0.037645,            0.010596,           0.0077551,             0.91467,             0.92616,             0.92325,             0.60849,            0.033567,           0.0080256,           0.0084948,            0.004159,            0.004159,            0.004159
                  61,            0.036053,           0.0096815,             0.00701,             0.93211,             0.90926,             0.92438,             0.62692,            0.034392,           0.0081134,           0.0084858,             0.00406,             0.00406,             0.00406
                  62,            0.036473,           0.0096055,           0.0071024,             0.89672,             0.89654,             0.91735,             0.61024,            0.035457,           0.0082693,           0.0083548,            0.003961,            0.003961,            0.003961
                  63,             0.03509,           0.0098567,            0.006828,             0.90183,             0.93072,             0.92741,             0.50073,            0.039427,           0.0079741,           0.0086846,            0.003862,            0.003862,            0.003862
                  64,            0.035959,            0.010052,           0.0075239,             0.91773,             0.91363,               0.917,             0.63717,            0.037776,             0.00844,           0.0087018,            0.003763,            0.003763,            0.003763
                  65,             0.03678,             0.00978,           0.0068588,             0.94707,              0.9382,              0.9339,             0.58987,            0.037352,           0.0084968,           0.0082535,            0.003664,            0.003664,            0.003664
                  66,            0.035921,           0.0093481,           0.0067644,             0.92713,             0.92828,             0.93257,             0.61307,            0.032981,           0.0075068,           0.0081886,            0.003565,            0.003565,            0.003565
                  67,            0.034404,           0.0096566,           0.0067909,              0.9405,             0.94102,             0.94187,             0.66687,            0.033018,           0.0074596,           0.0082939,            0.003466,            0.003466,            0.003466
                  68,            0.035261,           0.0097581,           0.0071509,             0.92239,             0.92218,             0.93076,             0.63151,            0.034407,           0.0087786,           0.0084138,            0.003367,            0.003367,            0.003367
                  69,            0.034342,           0.0089917,           0.0069871,             0.93984,             0.93927,             0.92676,              0.6586,            0.032132,           0.0074844,           0.0081949,            0.003268,            0.003268,            0.003268
                  70,             0.03486,           0.0099048,           0.0065044,             0.92927,             0.88693,             0.93294,             0.63858,            0.033402,           0.0080981,           0.0079752,            0.003169,            0.003169,            0.003169
                  71,            0.034245,           0.0096327,           0.0061481,             0.90045,             0.90544,             0.90418,             0.63181,            0.038493,           0.0094433,           0.0080517,             0.00307,             0.00307,             0.00307
                  72,            0.034239,            0.010021,           0.0072759,             0.90732,              0.9178,             0.91182,             0.48173,            0.042013,            0.010022,           0.0083385,            0.002971,            0.002971,            0.002971
                  73,             0.03393,           0.0093377,           0.0068589,             0.92356,             0.89398,             0.92057,             0.63544,            0.035629,           0.0086241,           0.0084029,            0.002872,            0.002872,            0.002872
                  74,            0.032567,           0.0097258,           0.0062878,             0.93121,             0.93053,             0.93078,              0.6657,            0.032725,           0.0077071,           0.0082077,            0.002773,            0.002773,            0.002773
                  75,            0.032934,           0.0094694,           0.0065011,             0.94834,             0.93927,             0.93435,             0.63297,            0.031979,            0.008183,           0.0082878,            0.002674,            0.002674,            0.002674
                  76,            0.033957,           0.0091619,           0.0066566,             0.93579,             0.93484,              0.9311,             0.67551,            0.031693,           0.0076718,           0.0080767,            0.002575,            0.002575,            0.002575
                  77,            0.032515,           0.0086842,            0.006229,             0.93109,             0.92352,             0.93036,             0.65392,            0.031863,           0.0076685,           0.0083616,            0.002476,            0.002476,            0.002476
                  78,            0.032537,            0.008905,           0.0063042,             0.93027,             0.92746,             0.92706,             0.57055,            0.031957,           0.0083623,           0.0085273,            0.002377,            0.002377,            0.002377
                  79,            0.032791,           0.0088907,           0.0067375,             0.93454,             0.93921,             0.93021,             0.63747,            0.030469,           0.0080914,           0.0083501,            0.002278,            0.002278,            0.002278
                  80,            0.032478,           0.0087851,           0.0063487,             0.94486,             0.93927,             0.91691,             0.67972,            0.031263,           0.0078993,           0.0082331,            0.002179,            0.002179,            0.002179
                  81,            0.031501,           0.0084951,           0.0054383,             0.95441,             0.94367,             0.93156,              0.6836,            0.029925,           0.0079517,           0.0082569,             0.00208,             0.00208,             0.00208
                  82,            0.032206,           0.0085824,            0.005723,             0.93776,             0.93927,             0.92819,             0.65482,            0.033237,           0.0075617,           0.0083114,            0.001981,            0.001981,            0.001981
                  83,            0.031399,           0.0092114,           0.0057553,             0.95115,             0.93719,              0.9333,             0.64072,            0.031206,           0.0073566,           0.0083534,            0.001882,            0.001882,            0.001882
                  84,            0.031481,           0.0090425,           0.0061439,             0.92995,             0.92285,             0.92654,             0.66584,             0.03304,           0.0081129,            0.008644,            0.001783,            0.001783,            0.001783
                  85,            0.031044,           0.0091213,           0.0054063,             0.93514,             0.93721,             0.92113,             0.62253,            0.029908,           0.0077257,           0.0085884,            0.001684,            0.001684,            0.001684
                  86,            0.031066,           0.0089036,            0.006391,              0.9298,             0.93927,             0.92068,             0.63805,              0.0325,           0.0074306,           0.0085241,            0.001585,            0.001585,            0.001585
                  87,            0.030417,           0.0088502,           0.0053559,             0.93835,             0.94363,             0.93065,             0.61769,            0.031537,           0.0085163,           0.0084919,            0.001486,            0.001486,            0.001486
                  88,            0.030825,           0.0088437,           0.0057663,             0.94842,             0.92667,             0.92752,             0.62131,            0.033212,           0.0087004,           0.0086336,            0.001387,            0.001387,            0.001387
                  89,            0.030748,           0.0089218,           0.0062801,             0.94578,             0.93493,              0.9293,             0.64623,            0.030677,           0.0076985,           0.0084278,            0.001288,            0.001288,            0.001288
                  90,            0.030642,           0.0084899,           0.0057772,             0.93587,             0.93929,             0.93629,             0.69073,            0.030819,             0.00735,           0.0086903,            0.001189,            0.001189,            0.001189
                  91,             0.03017,           0.0084358,           0.0060925,             0.94152,             0.93927,             0.93703,             0.65302,            0.031854,           0.0075221,            0.008599,             0.00109,             0.00109,             0.00109
                  92,             0.02974,           0.0087375,           0.0058054,             0.93367,             0.91363,             0.92747,             0.66095,            0.032942,           0.0079236,           0.0085875,            0.000991,            0.000991,            0.000991
                  93,            0.029742,             0.00879,           0.0060933,             0.93169,             0.92427,             0.92978,             0.63018,            0.032596,           0.0075798,           0.0084021,            0.000892,            0.000892,            0.000892
                  94,            0.029423,           0.0085101,           0.0053895,             0.92552,             0.91986,             0.92226,             0.63076,            0.032285,           0.0083327,           0.0086767,            0.000793,            0.000793,            0.000793
                  95,            0.029794,           0.0091108,           0.0057821,             0.93723,             0.93927,             0.93161,             0.65195,            0.029499,           0.0072441,           0.0083919,            0.000694,            0.000694,            0.000694
                  96,            0.029866,           0.0085198,           0.0059875,             0.93455,             0.93927,             0.93058,             0.63148,            0.029932,           0.0073104,           0.0084645,            0.000595,            0.000595,            0.000595
                  97,            0.029598,           0.0087313,           0.0060187,             0.93961,             0.94782,             0.93481,              0.6592,            0.029898,           0.0071888,            0.008647,            0.000496,            0.000496,            0.000496
                  98,            0.028945,           0.0090348,           0.0054983,              0.9392,             0.94121,             0.93358,             0.62644,            0.030069,           0.0072436,           0.0087677,            0.000397,            0.000397,            0.000397
                  99,            0.028677,            0.008403,           0.0052616,             0.94397,             0.93277,             0.93008,             0.62698,            0.030405,           0.0075107,            0.008639,            0.000298,            0.000298,            0.000298
